SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
CCHT1-S4	T1	Bulk_soil	California	CA_Field_1		CCH4	S-T1-CCH4		CA1	control	control	humic	4					2022
CCHT1R1	T1	Rhizosphere	California	CA_Field_1		CCH1	Z-T1-CCH1		CA1	control	control	humic	1					2022
CCHT1R2	T1	Rhizosphere	California	CA_Field_1		CCH2	Z-T1-CCH2		CA1	control	control	humic	2					2022
CCHT1R3	T1	Rhizosphere	California	CA_Field_1		CCH3	Z-T1-CCH3		CA1	control	control	humic	3					2022
CCHT1R4	T1	Rhizosphere	California	CA_Field_1		CCH4	Z-T1-CCH4		CA1	control	control	humic	4					2022
CGCT1-S1	T1	Bulk_soil	California	CA_Field_1		CGC1	S-T1-CGC1		CA1	control	Glyphosate	control	1					2022
CGCT1-S2	T1	Bulk_soil	California	CA_Field_1		CGC2	S-T1-CGC2		CA1	control	Glyphosate	control	2					2022
CGCT1-S3	T1	Bulk_soil	California	CA_Field_1		CGC3	S-T1-CGC3		CA1	control	Glyphosate	control	3					2022
CGCT1-S4	T1	Bulk_soil	California	CA_Field_1		CGC4	S-T1-CGC4		CA1	control	Glyphosate	control	4					2022
CGCT1R1	T1	Rhizosphere	California	CA_Field_1		CGC1	Z-T1-CGC1		CA1	control	Glyphosate	control	1					2022
CGCT1R2	T1	Rhizosphere	California	CA_Field_1		CGC2	Z-T1-CGC2		CA1	control	Glyphosate	control	2					2022
CGCT1R3	T1	Rhizosphere	California	CA_Field_1		CGC3	Z-T1-CGC3		CA1	control	Glyphosate	control	3					2022
CGCT1R4	T1	Rhizosphere	California	CA_Field_1		CGC4	Z-T1-CGC4		CA1	control	Glyphosate	control	4					2022
CGHT1-S1	T1	Bulk_soil	California	CA_Field_1		CGH1	S-T1-CGH1		CA1	control	Glyphosate	humic	1					2022
CGHT1-S2	T1	Bulk_soil	California	CA_Field_1		CGH2	S-T1-CGH2		CA1	control	Glyphosate	humic	2					2022
CGHT1-S3	T1	Bulk_soil	California	CA_Field_1		CGH3	S-T1-CGH3		CA1	control	Glyphosate	humic	3					2022
CGHT1-S4	T1	Bulk_soil	California	CA_Field_1		CGH4	S-T1-CGH4		CA1	control	Glyphosate	humic	4					2022
CGHT1R1	T1	Rhizosphere	California	CA_Field_1		CGH1	Z-T1-CGH1		CA1	control	Glyphosate	humic	1					2022
CGHT1R2	T1	Rhizosphere	California	CA_Field_1		CGH2	Z-T1-CGH2		CA1	control	Glyphosate	humic	2					2022
CGHT1R3	T1	Rhizosphere	California	CA_Field_1		CGH3	Z-T1-CGH3		CA1	control	Glyphosate	humic	3					2022
CGHT1R4	T1	Rhizosphere	California	CA_Field_1		CGH4	Z-T1-CGH4		CA1	control	Glyphosate	humic	4					2022
L-T1-CCC1	T1	Leaves	California	CA_Field_1	6/8/22	CCC1	L-T1-CCC1		CA1	control	control	control	1					2022
L-T1-CCC2	T1	Leaves	California	CA_Field_1	6/8/22	CCC2	L-T1-CCC2		CA1	control	control	control	2					2022
L-T1-CCC3	T1	Leaves	California	CA_Field_1	6/8/22	CCC3	L-T1-CCC3		CA1	control	control	control	3					2022
L-T1-CCC4	T1	Leaves	California	CA_Field_1	6/8/22	CCC4	L-T1-CCC4		CA1	control	control	control	4					2022
L-T1-CCH1	T1	Leaves	California	CA_Field_1	6/8/22	CCH1	L-T1-CCH1		CA1	control	control	humic	1					2022
L-T1-CCH2	T1	Leaves	California	CA_Field_1	6/8/22	CCH2	L-T1-CCH2		CA1	control	control	humic	2					2022
L-T1-CCH3	T1	Leaves	California	CA_Field_1	6/8/22	CCH3	L-T1-CCH3		CA1	control	control	humic	3					2022
L-T1-CCH4	T1	Leaves	California	CA_Field_1	6/8/22	CCH4	L-T1-CCH4		CA1	control	control	humic	4					2022
L-T1-CGC1	T1	Leaves	California	CA_Field_1	6/8/22	CGC1	L-T1-CGC1		CA1	control	Glyphosate	control	1					2022
L-T1-CGC2	T1	Leaves	California	CA_Field_1	6/8/22	CGC2	L-T1-CGC2		CA1	control	Glyphosate	control	2					2022
L-T1-CGC3	T1	Leaves	California	CA_Field_1	6/8/22	CGC3	L-T1-CGC3		CA1	control	Glyphosate	control	3					2022
L-T1-CGC4	T1	Leaves	California	CA_Field_1	6/8/22	CGC4	L-T1-CGC4		CA1	control	Glyphosate	control	4					2022
L-T1-CGH1	T1	Leaves	California	CA_Field_1	6/8/22	CGH1	L-T1-CGH1		CA1	control	Glyphosate	humic	1					2022
L-T1-CGH2	T1	Leaves	California	CA_Field_1	6/8/22	CGH2	L-T1-CGH2		CA1	control	Glyphosate	humic	2					2022
L-T1-CGH3	T1	Leaves	California	CA_Field_1	6/8/22	CGH3	L-T1-CGH3		CA1	control	Glyphosate	humic	3					2022
L-T1-CGH4	T1	Leaves	California	CA_Field_1	6/8/22	CGH4	L-T1-CGH4		CA1	control	Glyphosate	humic	4					2022
L-T1-MCC1	T1	Leaves	California	CA_Field_1	6/8/22	MCC1	L-T1-MCC1		CA1	mulch	control	control	1					2022
L-T1-MCC2	T1	Leaves	California	CA_Field_1	6/8/22	MCC2	L-T1-MCC2		CA1	mulch	control	control	2					2022
L-T1-MCC3	T1	Leaves	California	CA_Field_1	6/8/22	MCC3	L-T1-MCC3		CA1	mulch	control	control	3					2022
L-T1-MCC4	T1	Leaves	California	CA_Field_1	6/8/22	MCC4	L-T1-MCC4		CA1	mulch	control	control	4					2022
L-T1-MCH1	T1	Leaves	California	CA_Field_1	6/8/22	MCH1	L-T1-MCH1		CA1	mulch	control	humic	1					2022
